# z r Bz Br
#--------------------
 -347 35 0.000407 -0.000176
 -347 36 0.000407 -0.000181
 -347 37 0.000404 -0.000186
 -347 38 0.000402 -0.000191
 -347 39 0.0004 -0.000196
 -347 40 0.000398 -0.000201
 -347 41 0.000396 -0.000205
 -347 42 0.000393 -0.00021
 -347 43 0.000391 -0.000215
 -347 44 0.000389 -0.00022
 -347 45 0.000387 -0.000224
 -347 46 0.000384 -0.000229
 -347 47 0.000381 -0.000233
 -347 48 0.000379 -0.000237
 -347 49 0.000376 -0.000242
 -347 50 0.000374 -0.000247
 -346 0 0.000453 0
 -346 1 0.000452 -0.000005
 -346 2 0.000452 -0.000011
 -346 3 0.000452 -0.000016
 -346 4 0.000452 -0.000021
 -346 5 0.000452 -0.000026
 -346 6 0.000452 -0.000031
 -346 7 0.000451 -0.000037
 -346 8 0.000451 -0.000042
 -346 9 0.00045 -0.000047
 -346 10 0.000449 -0.000052
 -346 11 0.000449 -0.000058
 -346 12 0.000449 -0.000063
 -346 13 0.000447 -0.000068
 -346 14 0.000446 -0.000073
 -346 15 0.000446 -0.000078
 -346 16 0.000445 -0.000083
 -346 17 0.000446 -0.000088
 -346 18 0.000443 -0.000093
 -346 19 0.000441 -0.000098
 -346 20 0.000441 -0.000104
 -346 21 0.00044 -0.000109
 -346 22 0.000438 -0.000114
 -346 23 0.000437 -0.000119
 -346 24 0.000436 -0.000124
 -346 25 0.000434 -0.000129
 -346 26 0.000433 -0.000134
 -346 27 0.000432 -0.000139
 -346 28 0.00043 -0.000144
 -346 29 0.000429 -0.000149
 -346 30 0.000428 -0.000154
 -346 31 0.000425 -0.000158
 -346 32 0.000424 -0.000164
 -346 33 0.000422 -0.000169
 -346 34 0.000419 -0.000174
 -346 35 0.000418 -0.000179
 -346 36 0.000417 -0.000184
 -346 37 0.000414 -0.000188
 -346 38 0.000412 -0.000193
 -346 39 0.00041 -0.000198
 -346 40 0.000407 -0.000203
 -346 41 0.000406 -0.000208
 -346 42 0.000403 -0.000213
 -346 43 0.000401 -0.000217
 -346 44 0.000398 -0.000222
 -346 45 0.000396 -0.000226
 -346 46 0.000393 -0.000231
 -346 47 0.000391 -0.000236
 -346 48 0.000389 -0.00024
 -346 49 0.000386 -0.000245
 -346 50 0.000383 -0.00025
 -345 0 0.000463 0
 -345 1 0.000463 -0.000005
 -345 2 0.000463 -0.00001
 -345 3 0.000462 -0.000016
 -345 4 0.000462 -0.000021
 -345 5 0.000462 -0.000026
 -345 6 0.000463 -0.000031
 -345 7 0.000462 -0.000037
 -345 8 0.000461 -0.000042
 -345 9 0.00046 -0.000047
 -345 10 0.00046 -0.000053
 -345 11 0.000459 -0.000058
 -345 12 0.000459 -0.000063
 -345 13 0.000458 -0.000068
 -345 14 0.000457 -0.000074
 -345 15 0.000456 -0.000079
 -345 16 0.000456 -0.000085
 -345 17 0.000456 -0.000089
 -345 18 0.000453 -0.000094
 -345 19 0.000452 -0.000099
 -345 20 0.000452 -0.000105
 -345 21 0.00045 -0.00011
 -345 22 0.000449 -0.000115
 -345 23 0.000448 -0.00012
 -345 24 0.000446 -0.000125
 -345 25 0.000445 -0.00013
 -345 26 0.000444 -0.000135
 -345 27 0.000442 -0.00014
 -345 28 0.00044 -0.000145
 -345 29 0.000439 -0.000151
 -345 30 0.000437 -0.000155
 -345 31 0.000436 -0.00016
